Sr. No. ,Institute Code ,Institute Name 
209,6355,"Shri Balasaheb Mane Shikshan Prasarak Mandal's Ashokrao Mane College of Pharmacy,Peth Vadgaon, Kolhapur"
210,6356,"Tatyasaheb Kore College of Pharmacy, Warananagar"
211,6357,"Tatyasaheb Kore College of Pharmacy (Diploma),  Warananagar"
212,6358,"Sinhgad College of Pharmacy, Vadgaon, Pune"
213,6359,"Alard Charitable Trust's Alard College of Pharmacy, Marunje, Hinjewadi, Pune"
214,6360,"Chanakya Education. Soceity's, Indira College of Pharmacy, Tathawade, Pune"
215,6361,"Vishal Institute of Pharmaceutical Education & Research, Ale, (Alephata), Dist. Pune"
216,6362,"Sinhgad Technical Education Society, Smt.  Kashibai Navale College of Pharmacy, Kondhwa,(Bk.), Pune"
217,6363,"Sinhgad Institute of Pharmacy, Narhe(Ambegaon), Pune"
218,6364,"Progressive Education Society's Modern College of Pharmacy( for Women), Moshi.(Tal.Haveli)"
219,6365,"Shree Gajanan Maharaj Shikshan Prasarak Mandal Sharadchandra Pawar College of Pharmacy, At Dumbaarwadi (Otur) "
220,6366,"Saibalaji Education Society, International Institute of Management & Human Resource Development(W), Nere Marunje, Pune"
221,6367,"Rajarshi Shahu College of Pharmacy & Research, Tathawade, Pune"
222,6368,"Shri Chatrapati Sambhaji Shikshan Sanstha's  Sitabai Thite College of Pharmarcy, Shirur, (Ghodnadi). Pune"
223,6369,"Rameshwar Maulee Pratishthan's Bhalchandra College of Pharmacy, Gorhe (KD), Pune"
224,6370,"Progressive Education Society's Modern College of Pharmacy, Nigdi, Pune"
225,6371,"Dr. D.Y. Patil College of Pharmacy , Akurdi, Pune"
226,6372,"Poona District Education  Association's  Seth Govind Raghunath Sable College of Pharmacy , Saswad, Pune"
227,6373,"Shri Chatrapati Sambhaji Shikshan Sanstha's  Sitabai Thite College of Pharmarcy, Shirur, (Ghodnadi). Pune"
228,6374,"Maharashtra Cosmopolitan Education Society's Allana College of Pharmacy,Pune"
